Plot Title: 20946471,,,,,,,,
#,"Date Time, GMT-05:00","Temp, °C (LGR S/N: 20946471, SEN S/N: 20946471)","Intensity, Lux (LGR S/N: 20946471, SEN S/N: 20946471)",Coupler Attached (LGR S/N: 20946471),Coupler Detached (LGR S/N: 20946471),Host Connected (LGR S/N: 20946471),Stopped (LGR S/N: 20946471),End Of File (LGR S/N: 20946471)
1,7/16/2021 17:00,27.764,88178.4,,,,,
2,7/16/2021 17:15,28.655,77156.1,,,,,
3,7/16/2021 17:30,28.06,74400.5,,,,,
4,7/16/2021 17:45,27.764,74400.5,,,,,
5,7/16/2021 18:00,27.862,74400.5,,,,,
6,7/16/2021 18:15,27.37,71644.9,,,,,
7,7/16/2021 18:30,27.764,77156.1,,,,,
8,7/16/2021 18:45,27.37,77156.1,,,,,
9,7/16/2021 19:00,27.173,77156.1,,,,,
10,7/16/2021 19:15,26.39,77156.1,,,,,
11,7/16/2021 19:30,25.902,71644.9,,,,,
12,7/16/2021 19:45,25.513,71644.9,,,,,
13,7/16/2021 20:00,24.931,71644.9,,,,,
14,7/16/2021 20:15,24.448,71644.9,,,,,
15,7/16/2021 20:30,23.966,71644.9,,,,,
16,7/16/2021 20:45,23.581,71644.9,,,,,
17,7/16/2021 21:00,23.292,71644.9,,,,,
18,7/16/2021 21:15,23.004,71644.9,,,,,
19,7/16/2021 21:30,22.812,71644.9,,,,,
20,7/16/2021 21:45,22.621,71644.9,,,,,
21,7/16/2021 22:00,22.429,71644.9,,,,,
22,7/16/2021 22:15,22.333,74400.5,,,,,
23,7/16/2021 22:30,22.238,71644.9,,,,,
24,7/16/2021 22:45,22.142,74400.5,,,,,
25,7/16/2021 23:00,22.142,74400.5,,,,,
26,7/16/2021 23:15,22.046,74400.5,,,,,
27,7/16/2021 23:30,22.046,74400.5,,,,,
28,7/16/2021 23:45,22.046,74400.5,,,,,
29,7/17/2021 0:00,21.855,74400.5,,,,,
30,7/17/2021 0:15,21.76,74400.5,,,,,
31,7/17/2021 0:30,21.76,74400.5,,,,,
32,7/17/2021 0:45,21.855,74400.5,,,,,
33,7/17/2021 1:00,22.142,74400.5,,,,,
34,7/17/2021 1:15,22.238,74400.5,,,,,
35,7/17/2021 1:30,22.238,74400.5,,,,,
36,7/17/2021 1:45,22.238,74400.5,,,,,
37,7/17/2021 2:00,22.238,74400.5,,,,,
38,7/17/2021 2:15,22.238,77156.1,,,,,
39,7/17/2021 2:30,22.142,44089.2,,,,,
40,7/17/2021 2:45,21.569,16533.4,,,,,
41,7/17/2021 3:00,21.378,16533.4,,,,,
42,7/17/2021 3:15,21.473,18600.1,,,,,
43,7/17/2021 3:30,21.282,19977.9,,,,,
44,7/17/2021 3:45,21.187,21355.7,,,,,
45,7/17/2021 4:00,21.187,23422.4,,,,,
46,7/17/2021 4:15,21.091,26178,,,,,
47,7/17/2021 4:30,21.091,28933.5,,,,,
48,7/17/2021 4:45,21.187,33066.9,,,,,
49,7/17/2021 5:00,21.187,34444.7,,,,,
50,7/17/2021 5:15,21.187,37200.2,,,,,
51,7/17/2021 5:30,21.282,41333.6,,,,,
52,7/17/2021 5:45,21.282,44089.2,,,,,
53,7/17/2021 6:00,21.282,46844.8,,,,,
54,7/17/2021 6:15,21.282,49600.3,,,,,
55,7/17/2021 6:30,21.282,52355.9,,,,,
56,7/17/2021 6:45,21.282,55111.5,,,,,
57,7/17/2021 7:00,21.282,57867,,,,,
58,7/17/2021 7:15,21.282,57867,,,,,
59,7/17/2021 7:30,21.282,60622.6,,,,,
60,7/17/2021 7:45,21.378,63378.2,,,,,
61,7/17/2021 8:00,21.378,63378.2,,,,,
62,7/17/2021 8:15,21.378,66133.8,,,,,
63,7/17/2021 8:30,21.473,66133.8,,,,,
64,7/17/2021 8:45,21.473,68889.3,,,,,
65,7/17/2021 9:00,21.569,68889.3,,,,,
66,7/17/2021 9:15,21.664,68889.3,,,,,
67,7/17/2021 9:30,21.76,71644.9,,,,,
68,7/17/2021 9:45,22.046,71644.9,,,,,
69,7/17/2021 10:00,22.142,71644.9,,,,,
70,7/17/2021 10:15,22.429,74400.5,,,,,
71,7/17/2021 10:30,22.717,74400.5,,,,,
72,7/17/2021 10:45,22.812,74400.5,,,,,
73,7/17/2021 11:00,23.004,77156.1,,,,,
74,7/17/2021 11:15,23.292,77156.1,,,,,
75,7/17/2021 11:30,23.581,77156.1,,,,,
76,7/17/2021 11:45,24.158,77156.1,,,,,
77,7/17/2021 12:00,24.158,79911.6,,,,,
78,7/17/2021 12:15,23.869,79911.6,,,,,
79,7/17/2021 12:30,23.773,79911.6,,,,,
80,7/17/2021 12:45,23.773,79911.6,,,,,
81,7/17/2021 13:00,24.062,79911.6,,,,,
82,7/17/2021 13:15,24.448,79911.6,,,,,
83,7/17/2021 13:30,24.835,79911.6,,,,,
84,7/17/2021 13:45,25.125,82667.2,,,,,
85,7/17/2021 14:00,25.416,82667.2,,,,,
86,7/17/2021 14:15,25.708,82667.2,,,,,
87,7/17/2021 14:30,26,82667.2,,,,,
88,7/17/2021 14:45,26.683,85422.8,,,,,
89,7/17/2021 15:00,27.272,85422.8,,,,,
90,7/17/2021 15:15,27.37,85422.8,,,,,
91,7/17/2021 15:30,27.173,85422.8,,,,,
92,7/17/2021 15:45,27.075,85422.8,,,,,
93,7/17/2021 16:00,27.567,85422.8,,,,,
94,7/17/2021 16:15,28.159,85422.8,,,,,
95,7/17/2021 16:30,28.456,88178.4,,,,,
96,7/17/2021 16:45,28.655,88178.4,,,,,
97,7/17/2021 17:00,28.853,88178.4,,,,,
98,7/17/2021 17:15,28.853,88178.4,,,,,
99,7/17/2021 17:30,28.655,88178.4,,,,,
100,7/17/2021 17:45,28.456,88178.4,,,,,
101,7/17/2021 18:00,28.357,88178.4,,,,,
102,7/17/2021 18:15,28.06,85422.8,,,,,
103,7/17/2021 18:30,27.764,85422.8,,,,,
104,7/17/2021 18:45,27.468,85422.8,,,,,
105,7/17/2021 19:00,26.879,85422.8,,,,,
106,7/17/2021 19:15,26.585,85422.8,,,,,
107,7/17/2021 19:30,26.195,85422.8,,,,,
108,7/17/2021 19:45,25.805,85422.8,,,,,
109,7/17/2021 20:00,25.319,85422.8,,,,,
110,7/17/2021 20:15,24.931,82667.2,,,,,
111,7/17/2021 20:30,24.545,82667.2,,,,,
112,7/17/2021 20:45,24.255,82667.2,,,,,
113,7/17/2021 21:00,23.869,82667.2,,,,,
114,7/17/2021 21:15,23.581,82667.2,,,,,
115,7/17/2021 21:30,23.292,82667.2,,,,,
116,7/17/2021 21:45,23.004,82667.2,,,,,
117,7/17/2021 22:00,22.812,82667.2,,,,,
118,7/17/2021 22:15,22.525,82667.2,,,,,
119,7/17/2021 22:30,22.333,82667.2,,,,,
120,7/17/2021 22:45,22.142,82667.2,,,,,
121,7/17/2021 23:00,22.142,82667.2,,,,,
122,7/17/2021 23:15,21.951,82667.2,,,,,
123,7/17/2021 23:30,21.855,82667.2,,,,,
124,7/17/2021 23:45,21.664,82667.2,,,,,
125,7/18/2021 0:00,21.569,82667.2,,,,,
126,7/18/2021 0:15,21.473,82667.2,,,,,
127,7/18/2021 0:30,21.378,82667.2,,,,,
128,7/18/2021 0:45,21.187,82667.2,,,,,
129,7/18/2021 1:00,21.187,82667.2,,,,,
130,7/18/2021 1:15,21.091,79911.6,,,,,
131,7/18/2021 1:30,21.091,79911.6,,,,,
132,7/18/2021 1:45,20.996,79911.6,,,,,
133,7/18/2021 2:00,20.901,79911.6,,,,,
134,7/18/2021 2:15,20.805,79911.6,,,,,
135,7/18/2021 2:30,20.71,79911.6,,,,,
136,7/18/2021 2:45,20.71,79911.6,,,,,
137,7/18/2021 3:00,20.615,79911.6,,,,,
138,7/18/2021 3:15,20.519,79911.6,,,,,
139,7/18/2021 3:30,20.424,79911.6,,,,,
140,7/18/2021 3:45,20.424,79911.6,,,,,
141,7/18/2021 4:00,20.329,79911.6,,,,,
142,7/18/2021 4:15,20.329,79911.6,,,,,
143,7/18/2021 4:30,20.329,79911.6,,,,,
144,7/18/2021 4:45,20.234,79911.6,,,,,
145,7/18/2021 5:00,20.138,79911.6,,,,,
146,7/18/2021 5:15,20.138,79911.6,,,,,
147,7/18/2021 5:30,20.138,79911.6,,,,,
148,7/18/2021 5:45,20.138,79911.6,,,,,
149,7/18/2021 6:00,20.234,79911.6,,,,,
150,7/18/2021 6:15,20.234,79911.6,,,,,
151,7/18/2021 6:30,20.329,79911.6,,,,,
152,7/18/2021 6:45,20.424,82667.2,,,,,
153,7/18/2021 7:00,20.519,82667.2,,,,,
154,7/18/2021 7:15,20.615,82667.2,,,,,
155,7/18/2021 7:30,20.615,82667.2,,,,,
156,7/18/2021 7:45,20.71,82667.2,,,,,
157,7/18/2021 8:00,20.805,82667.2,,,,,
158,7/18/2021 8:15,20.901,82667.2,,,,,
159,7/18/2021 8:30,20.901,82667.2,,,,,
160,7/18/2021 8:45,21.091,82667.2,,,,,
161,7/18/2021 9:00,21.187,82667.2,,,,,
162,7/18/2021 9:15,21.378,82667.2,,,,,
163,7/18/2021 9:30,21.569,82667.2,,,,,
164,7/18/2021 9:45,21.76,82667.2,,,,,
165,7/18/2021 10:00,22.046,82667.2,,,,,
166,7/18/2021 10:15,22.142,85422.8,,,,,
167,7/18/2021 10:30,22.333,85422.8,,,,,
168,7/18/2021 10:45,22.621,85422.8,,,,,
169,7/18/2021 11:00,23.004,88178.4,,,,,
170,7/18/2021 11:15,23.292,88178.4,,,,,
171,7/18/2021 11:30,23.966,88178.4,,,,,
172,7/18/2021 11:45,24.448,88178.4,,,,,
173,7/18/2021 12:00,24.931,88178.4,,,,,
174,7/18/2021 12:15,25.513,88178.4,,,,,
175,7/18/2021 12:30,25.805,88178.4,,,,,
176,7/18/2021 12:45,26.488,88178.4,,,,,
177,7/18/2021 13:00,26.683,88178.4,,,,,
178,7/18/2021 13:15,27.075,88178.4,,,,,
179,7/18/2021 13:30,27.567,88178.4,,,,,
180,7/18/2021 13:45,27.862,88178.4,,,,,
181,7/18/2021 14:00,28.159,88178.4,,,,,
182,7/18/2021 14:15,28.555,93689.5,,,,,
183,7/18/2021 14:30,28.456,88178.4,,,,,
184,7/18/2021 14:45,28.655,88178.4,,,,,
185,7/18/2021 15:00,29.053,93689.5,,,,,
186,7/18/2021 15:15,29.252,93689.5,,,,,
187,7/18/2021 15:30,29.152,93689.5,,,,,
188,7/18/2021 15:45,29.452,88178.4,,,,,
189,7/18/2021 16:00,29.452,88178.4,,,,,
190,7/18/2021 16:15,29.652,88178.4,,,,,
191,7/18/2021 16:30,29.552,88178.4,,,,,
192,7/18/2021 16:45,29.352,88178.4,,,,,
193,7/18/2021 17:00,28.853,88178.4,,,,,
194,7/18/2021 17:15,28.853,88178.4,,,,,
195,7/18/2021 17:30,28.655,88178.4,,,,,
196,7/18/2021 17:45,28.456,88178.4,,,,,
197,7/18/2021 18:00,27.862,88178.4,,,,,
198,7/18/2021 18:15,27.665,88178.4,,,,,
199,7/18/2021 18:30,27.173,88178.4,,,,,
200,7/18/2021 18:45,26.977,88178.4,,,,,
201,7/18/2021 19:00,26.585,85422.8,,,,,
202,7/18/2021 19:15,26.292,85422.8,,,,,
203,7/18/2021 19:30,25.902,88178.4,,,,,
204,7/18/2021 19:45,25.513,88178.4,,,,,
205,7/18/2021 20:00,25.222,88178.4,,,,,
206,7/18/2021 20:15,24.835,88178.4,,,,,
207,7/18/2021 20:30,24.545,88178.4,,,,,
208,7/18/2021 20:45,24.255,85422.8,,,,,
209,7/18/2021 21:00,23.869,85422.8,,,,,
210,7/18/2021 21:15,23.581,85422.8,,,,,
211,7/18/2021 21:30,23.388,85422.8,,,,,
212,7/18/2021 21:45,23.1,85422.8,,,,,
213,7/18/2021 22:00,22.812,85422.8,,,,,
214,7/18/2021 22:15,22.621,85422.8,,,,,
215,7/18/2021 22:30,22.429,85422.8,,,,,
216,7/18/2021 22:45,22.238,85422.8,,,,,
217,7/18/2021 23:00,22.046,85422.8,,,,,
218,7/18/2021 23:15,21.855,85422.8,,,,,
219,7/18/2021 23:30,21.76,85422.8,,,,,
220,7/18/2021 23:45,21.569,85422.8,,,,,
221,7/19/2021 0:00,21.473,85422.8,,,,,
222,7/19/2021 0:15,21.473,85422.8,,,,,
223,7/19/2021 0:30,21.473,85422.8,,,,,
224,7/19/2021 0:45,21.378,85422.8,,,,,
225,7/19/2021 1:00,21.282,85422.8,,,,,
226,7/19/2021 1:15,21.187,85422.8,,,,,
227,7/19/2021 1:30,21.091,85422.8,,,,,
228,7/19/2021 1:45,20.901,85422.8,,,,,
229,7/19/2021 2:00,20.805,85422.8,,,,,
230,7/19/2021 2:15,20.71,82667.2,,,,,
231,7/19/2021 2:30,20.615,82667.2,,,,,
232,7/19/2021 2:45,20.519,82667.2,,,,,
233,7/19/2021 3:00,20.424,82667.2,,,,,
234,7/19/2021 3:15,20.329,82667.2,,,,,
235,7/19/2021 3:30,20.234,82667.2,,,,,
236,7/19/2021 3:45,20.138,82667.2,,,,,
237,7/19/2021 4:00,20.043,82667.2,,,,,
238,7/19/2021 4:15,19.948,82667.2,,,,,
239,7/19/2021 4:30,19.853,82667.2,,,,,
240,7/19/2021 4:45,19.853,82667.2,,,,,
241,7/19/2021 5:00,19.662,82667.2,,,,,
242,7/19/2021 5:15,19.662,82667.2,,,,,
243,7/19/2021 5:30,19.567,82667.2,,,,,
244,7/19/2021 5:45,19.472,82667.2,,,,,
245,7/19/2021 6:00,19.472,82667.2,,,,,
246,7/19/2021 6:15,19.377,82667.2,,,,,
247,7/19/2021 6:30,19.282,82667.2,,,,,
248,7/19/2021 6:45,19.282,82667.2,,,,,
249,7/19/2021 7:00,19.282,82667.2,,,,,
250,7/19/2021 7:15,19.377,82667.2,,,,,
251,7/19/2021 7:30,19.377,82667.2,,,,,
252,7/19/2021 7:45,19.567,82667.2,,,,,
253,7/19/2021 8:00,19.662,82667.2,,,,,
254,7/19/2021 8:15,19.853,82667.2,,,,,
255,7/19/2021 8:30,20.138,82667.2,,,,,
256,7/19/2021 8:45,20.329,82667.2,,,,,
257,7/19/2021 9:00,20.71,85422.8,,,,,
258,7/19/2021 9:15,20.996,85422.8,,,,,
259,7/19/2021 9:30,21.378,85422.8,,,,,
260,7/19/2021 9:45,21.855,85422.8,,,,,
261,7/19/2021 10:00,22.238,85422.8,,,,,
262,7/19/2021 10:15,22.717,85422.8,,,,,
263,7/19/2021 10:30,23.196,88178.4,,,,,
264,7/19/2021 10:45,23.677,88178.4,,,,,
265,7/19/2021 11:00,24.255,88178.4,,,,,
266,7/19/2021 11:15,24.738,88178.4,,,,,
267,7/19/2021 11:30,25.222,88178.4,,,,,
268,7/19/2021 11:45,25.61,88178.4,,,,,
269,7/19/2021 12:00,25.61,88178.4,,,,,
270,7/19/2021 12:15,26,88178.4,,,,,
271,7/19/2021 12:30,26.292,88178.4,,,,,
272,7/19/2021 12:45,26.781,88178.4,,,,,
273,7/19/2021 13:00,27.075,88178.4,,,,,
274,7/19/2021 13:15,27.468,88178.4,,,,,
275,7/19/2021 13:30,27.862,88178.4,,,,,
276,7/19/2021 13:45,27.764,88178.4,,,,,
277,7/19/2021 14:00,27.961,88178.4,,,,,
278,7/19/2021 14:15,28.159,88178.4,,,,,
279,7/19/2021 14:30,27.862,88178.4,,,,,
280,7/19/2021 14:45,27.961,88178.4,,,,,
281,7/19/2021 15:00,28.258,88178.4,,,,,
282,7/19/2021 15:15,28.456,88178.4,,,,,
283,7/19/2021 15:30,28.555,88178.4,,,,,
284,7/19/2021 15:45,28.357,88178.4,,,,,
285,7/19/2021 16:00,28.456,88178.4,,,,,
286,7/19/2021 16:15,28.357,88178.4,,,,,
287,7/19/2021 16:30,28.357,85422.8,,,,,
288,7/19/2021 16:45,28.06,85422.8,,,,,
289,7/19/2021 17:00,27.961,88178.4,,,,,
290,7/19/2021 17:15,27.764,88178.4,,,,,
291,7/19/2021 17:30,27.567,88178.4,,,,,
292,7/19/2021 17:45,27.468,88178.4,,,,,
293,7/19/2021 18:00,27.272,88178.4,,,,,
294,7/19/2021 18:15,26.977,88178.4,,,,,
295,7/19/2021 18:30,26.781,88178.4,,,,,
296,7/19/2021 18:45,26.488,88178.4,,,,,
297,7/19/2021 19:00,26.097,88178.4,,,,,
298,7/19/2021 19:15,25.708,88178.4,,,,,
299,7/19/2021 19:30,25.416,88178.4,,,,,
300,7/19/2021 19:45,25.125,88178.4,,,,,
301,7/19/2021 20:00,24.738,88178.4,,,,,
302,7/19/2021 20:15,24.255,88178.4,,,,,
303,7/19/2021 20:30,23.869,88178.4,,,,,
304,7/19/2021 20:45,23.484,88178.4,,,,,
305,7/19/2021 21:00,23.1,85422.8,,,,,
306,7/19/2021 21:15,22.812,85422.8,,,,,
307,7/19/2021 21:30,22.429,85422.8,,,,,
308,7/19/2021 21:45,22.238,85422.8,,,,,
309,7/19/2021 22:00,21.951,85422.8,,,,,
310,7/19/2021 22:15,21.76,85422.8,,,,,
311,7/19/2021 22:30,21.569,85422.8,,,,,
312,7/19/2021 22:45,21.378,85422.8,,,,,
313,7/19/2021 23:00,21.187,85422.8,,,,,
314,7/19/2021 23:15,20.996,85422.8,,,,,
315,7/19/2021 23:30,20.901,85422.8,,,,,
316,7/19/2021 23:45,20.71,85422.8,,,,,
317,7/20/2021 0:00,20.615,85422.8,,,,,
318,7/20/2021 0:15,20.519,85422.8,,,,,
319,7/20/2021 0:30,20.329,85422.8,,,,,
320,7/20/2021 0:45,20.234,85422.8,,,,,
321,7/20/2021 1:00,20.138,85422.8,,,,,
322,7/20/2021 1:15,20.043,85422.8,,,,,
323,7/20/2021 1:30,20.043,85422.8,,,,,
324,7/20/2021 1:45,19.948,82667.2,,,,,
325,7/20/2021 2:00,19.853,82667.2,,,,,
326,7/20/2021 2:15,19.758,82667.2,,,,,
327,7/20/2021 2:30,19.758,82667.2,,,,,
328,7/20/2021 2:45,19.662,82667.2,,,,,
329,7/20/2021 3:00,19.662,82667.2,,,,,
